,name,type,address,maxSeated,website,lat,lng
0,Thirlby Field,Sports Complex,"343 W Thirteenth St, Traverse City, MI 49684, USA",0,,44.7526394,-85.6281504
1,Traverse City Curling Center,Sports Complex,"1712 S Garfield Ave, Traverse City, MI 49686, USA",0,,44.7354433,-85.59770929999999
2,Howe Ice Arena,Sports Complex,"1125 W Civic Center Dr, Traverse City, MI 49686, USA",0,,44.7629738,-85.59314289999999
3,Turtle Creek Stadium,Sports Complex,"333 Stadium Dr, Traverse City, MI 49685, USA",0,,44.6822255,-85.6612275
4,Van Andel Arena,Arena,"130 Fulton St W, Grand Rapids, MI 49503, USA",10000,https://www.vanandelarena.com/,42.9624457,-85.6714195
5,MSA Fieldhouse,Sports Complex,"5435 28th St Ct SE, Grand Rapids, MI 49546, USA",0,https://michigansportsacademies.com/facilities/msa-fieldhouse/,42.917457,-85.5314806
6,Griff's Ice House,Arena,"30 Coldbrook St NE, Grand Rapids, MI 49503, USA",0,https://www.griffsicehouse.com/,42.9809589,-85.6658482
7,Bailey Park,Sports Complex,"1392 Capital Ave NE, Battle Creek, MI 49017, USA",0,,42.3395049,-85.15182539999999
8,Great Lakes Loons Minor League Baseball,Sports Complex,"825 E Main St, Midland, MI 48640, USA",5200,,43.6089316,-84.2375938
9,Northeast Little League Complex,Sports Complex,"Plmouth Park Dr, Midland, MI 48642, USA",0,,43.6385272,-84.209444
10,Saginaw Spirit OHL Hockey,Sports Complex,"303 Johnson St, Saginaw, MI 48607, USA",0,,43.4356338,-83.9352809
11,Tri-City Sports Complex,Sports Complex,"5117 Garfield Rd, Auburn, MI 48611, USA",0,,43.5942729,-84.0852781
12,Bay City Bowmen's Club,Sports Complex,"2245 8 Mile Rd, Kawkawlin, MI 48631, USA",0,,43.6748596,-84.0458007
13,Bullock Creek Little League,Sports Complex,"Midland, MI, USA",0,,43.6155825,-84.2472116
14,Saginaw Township Soccer Complex,Sports Complex,"3575 McCarty Rd, Saginaw, MI 48603, USA",0,,43.4631295,-83.9866199
15,St. Lorenz Soccer Fields,Sports Complex,"1030 W Tuscola St, Frankenmuth, MI 48734, USA",0,,43.3301876,-83.7557264
16,Bay Area Soccer Association,Sports Complex,"4189 Monitor Rd, Bay City, MI 48706, USA",0,,43.6182136,-83.9451392
17,Bay County Community Center,Sports Complex,"800 John F Kennedy Dr, Bay City, MI 48706, USA",0,,43.5921063,-83.9002414
18,Midland Civic Arena,Sports Complex,"405 Fast Ice Dr, Midland, MI 48642, USA",0,,43.6029768,-84.17615359999999
19,Midland Soccer Complex,Sports Complex,"901 Soccer Dr, Midland, MI 48642, USA",0,,43.6566801,-84.21659919999999
20,The Dow Event Center,Sports Complex,"303 Johnson St, Saginaw, MI 48607, USA",0,,43.4356338,-83.9352809
21,Freeland Sportszone,Sports Complex,"5690 Midland Rd, Freeland, MI 48623, USA",60,,43.4916968,-84.096637
22,George Olson Recreational Complex,Sports Complex,"3120 N Center Rd, Saginaw, MI 48603, USA",0,,43.4527716,-84.0143963
23,Lansing City Arena,Arena,"904 Elmwood Rd, Lansing, MI 48917, USA",1000,,42.7433302,-84.62036119999999
24,Wings Event Center,Arena,"3600 Vanrick Dr, Kalamazoo, MI 49001, USA",0,,42.2539823,-85.5357942
25,Mundy Sportsplex,Sports Complex,"5431 Hill 23 Dr, Flint, MI 48507, USA",0,https://www.mundysportsplex.com/,42.946717,-83.7251436
26,McBrook Sports Complex,Sports Complex,"14261 Torrey Rd, Fenton, MI 48430, USA",0,https://www.mcbrooksports.com/home,42.8195634,-83.7259322
27,Clio Youth Sports Complex,Sports Complex,"1497 W Hurd Rd, Clio, MI 48420, USA",0,,43.18094070000001,-83.71284709999999
28,Auto City Outdoor Event Center,Sports Complex,"10205 N Saginaw Rd, Clio, MI 48420, USA",0,https://www.autocityspeedway.com/,43.1545611,-83.70197859999999
29,Berston Field House,Sports Complex,"3300 Saginaw St, Flint, MI 48505, USA",0,,43.0462003,-83.69342449999999
30,Flint Iceland Arena,Sports Complex,"1160 Elms Rd, Flint, MI 48532, USA",0,,43.0109692,-83.81398700000001
31,Grand Blanc Soccer Zone,Sports Complex,"3166 Tri Park Dr, Grand Blanc, MI 48439, USA",0,,42.9236282,-83.64565499999999
32,MAAC Sports & Fitness,Sports Complex,"5338 Vienna Rd, Clio, MI 48420, USA",0,,43.1779847,-83.7868756
33,Birch Run Speedway and Event Center,Sports Complex,"10945 Dixie Hwy, Birch Run, MI 48415, USA",0,,43.266715,-83.778159
34,Garber Courts Tennis & Pickleball,Sports Complex,"Fordney St, Saginaw, MI 48601, USA",0,,43.4087963,-83.962366
35,Kettering University's Atwood Stadium,Stadium,"1700 University Ave, Flint, MI 48504, USA",0,,43.0108145,-83.7167587
36,Dort Financial Center,Sports Complex,"3501 Lapeer Rd, Flint, MI 48503, USA",4500,,43.0105747,-83.6415816
